Age,"Core ComicID","Core SeriesID",Country,Crossover,"Full Title",Genre,Imprint,Issue,"Issue Nr",Language,Publisher,"Release Date","Release Year",Series,"Series Group","Story Arc",Subtitle,Title,Variant,"Cover Price","CovrPrice Value","Custom Label","Date Sold",Grade,"Grader Notes","Grading Company",Key,"Key Category","Key Reason","Label Type","My Value","Page Quality","Price Sold","Purchase Date","Purchase Price","Purchase Store","Purchase Year","Raw / Slabbed","Signed by","Slab Certification Number","Sold Year",Value,Barcode,"Cover Date","Cover Year",Format,"No. of Pages","Variant Description"
Modern,693392,8976,USA,Inferno,"Inferno - Invasion Of The Baby-Snatchers","Action | Adventure | Super-Heroes",,1B,1,English,"Marvel Comics","Jun 21, 1988",1988,"X-Terminators, Vol. 1",X-Men,,,"Invasion Of The Baby-Snatchers",B,,,,,,,,Minor,"1st team appearance","1st team app. X-Terminators, 1st app. Wiz Kid",,,,,,,,,Raw,,,,,07148601039510,"Oct 1988",1988,Comic,32,"Newsstand Edition"
Modern,724900,8976,USA,Inferno,"Inferno - Speed Demon","Action | Adventure | Super-Heroes",,2B,2,English,"Marvel Comics","Jul 19, 1988",1988,"X-Terminators, Vol. 1",X-Men,,,"Speed Demon",B,1.00,,,,,,,No,,,,,,,,,,,Raw,,,,,07148601039511,"Nov 1988",1988,Comic,32,"Newsstand Edition"
Modern,104594,8976,USA,Inferno,"Inferno - Guess Who's Coming To Dinner","Action | Adventure | Super-Heroes",,3A,3,English,"Marvel Comics","Aug 16, 1988",1988,"X-Terminators, Vol. 1",X-Men,,,"Guess Who's Coming To Dinner",A,1.00,,,,,,,No,,,,,,,"Aug 27, 2023","$ 0.99","Hip comics",2023,Raw,,,,,07148601039512,"Dec 1988",1988,Comic,32,"Direct Edition"
Modern,104595,8976,USA,Inferno,"Inferno - Finale!","Action | Adventure | Super-Heroes",,4A,4,English,"Marvel Comics","Sep 27, 1988",1988,"X-Terminators, Vol. 1",X-Men,,Inferno,Finale!,A,1.00,,,,,,,No,,,,,,,,,,,Raw,,,,,07148601039501,"Jan 1989",1989,Comic,32,"Direct Edition"
Modern,403587,61621,USA,"Secret Wars","Secret Wars ","Action | Adventure | Super-Heroes",,1A,1,English,"Marvel Comics","Jun 03, 2015",2015,"X-Tinction Agenda",,,,,A,3.99,,,,,,,No,,,,,,,,,,,Raw,,,,,75960608243800111,"Aug 2015",2015,Comic,28,"Regular David Nakayama Cover"
Modern,809490,8981,USA,"Age of Apocalypse","Age of Apocalypse - Last Stand",Adventure,,1B,1,English,"Marvel Comics","Mar 21, 1995",1995,X-Universe,X-Universe,,,"Last Stand",B,3.50,,,,,,,No,,,,,,,,,,,Raw,,,,,00928103102401,"May 1995",1995,Comic,48,"Newsstand Edition"
Modern,104650,8981,USA,"Age of Apocalypse","Age of Apocalypse - Dying Breath","Action | Adventure | Super-Heroes",,2A,2,English,"Marvel Comics","Apr 18, 1995",1995,X-Universe,X-Universe,,,"Dying Breath",A,3.50,,,,,,,No,,,,,,,,,,,Raw,,,,,75960603102300211,"Jun 1995",1995,Comic,48,"Direct Edition"
Modern,104561,8974,USA,,"Time Lost","Action | Adventure",,1A,1,English,"Marvel Comics","Sep 25, 1996",1996,XSE,X-Men,,,"Time Lost",A,1.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960603679000111,"Nov 1996",1996,Comic,32,"Direct Edition"
Modern,104563,8974,USA,,"Future Intense","Action | Adventure | Super-Heroes",,2,2,English,"Marvel Comics","Oct 16, 1996",1996,XSE,X-Men,,,"Future Intense",,1.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960603679000211,"Dec 1996",1996,Comic,32,"Direct Edition"
Modern,104562,8974,USA,,"Future Betrayed","Action | Adventure | Super-Heroes",,3,3,English,"Marvel Comics","Nov 13, 1996",1996,XSE,X-Men,,,"Future Betrayed",,1.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960603679000311,"Jan 1997",1997,Comic,32,
Modern,104564,8974,USA,,Conflagration,"Action | Adventure | Super-Heroes",,4,4,English,"Marvel Comics","Dec 04, 1996",1996,XSE,X-Men,,,Conflagration,,1.95,,,,,,,No,,,,,,,,,,,Raw,,,,,75960603679000411,"Feb 1997",1997,Comic,32,"Direct Edition"
